% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	just	NUMERIC
@ATTRIBUTE	over	NUMERIC
@ATTRIBUTE	years	NUMERIC
@ATTRIBUTE	its	NUMERIC
@ATTRIBUTE	how	NUMERIC
@ATTRIBUTE	had	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	then	NUMERIC
@ATTRIBUTE	them	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	get	NUMERIC
@ATTRIBUTE	breast	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	now	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	did	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	where	NUMERIC
@ATTRIBUTE	because	NUMERIC
@ATTRIBUTE	says	NUMERIC
@ATTRIBUTE	people	NUMERIC
@ATTRIBUTE	some	NUMERIC
@ATTRIBUTE	back	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	year	NUMERIC
@ATTRIBUTE	our	NUMERIC
@ATTRIBUTE	really	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	said	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	re	NUMERIC
@ATTRIBUTE	new	NUMERIC
@ATTRIBUTE	she	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	after	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	her	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	first	NUMERIC
@ATTRIBUTE	cancer	NUMERIC
@ATTRIBUTE	into	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	your	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	would	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	two	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	their	NUMERIC
@ATTRIBUTE	much	NUMERIC
@ATTRIBUTE	music	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	than	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	me	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	will	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	were	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	ve	NUMERIC
@ATTRIBUTE	do	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	good	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	if	NUMERIC
@ATTRIBUTE	no	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	also	NUMERIC
@ATTRIBUTE	other	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	many	NUMERIC
@ATTRIBUTE	m	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	time	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
0.26,0.13,0.66,0.13,0.13,0.0,1.06,3.96,1.32,0.0,0.13,0.53,0.0,0.0,0.4,0.4,0.0,0.0,0.13,0.26,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.13,1.06,0.66,0.0,0.0,0.53,0.4,0.0,0.26,0.26,1.45,0.26,0.4,2.64,1.72,0.0,0.0,0.0,0.26,0.13,0.0,0.4,0.26,0.26,0.26,0.26,0.0,0.0,0.0,0.92,0.13,2.25,0.4,0.26,0.13,0.53,0.0,0.26,0.26,0.13,0.0,0.13,0.0,2.25,0.0,0.13,0.92,1.06,0.13,0.26,0.13,0.26,0.66,2.64,0.13,0.4,0.26,0.4,0.0,0.0,0.0,0.13,0.26,2.38,0.13,0.13,0.0,0.0,0.0,6.47,male
0.0,0.0,0.0,0.0,0.85,0.0,0.28,2.56,1.14,0.28,0.28,0.0,0.0,0.0,0.85,0.28,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.85,0.0,1.42,0.57,0.85,0.0,0.28,0.28,0.85,0.0,0.0,0.0,0.28,1.14,0.28,0.57,0.57,0.28,0.0,3.42,1.14,0.28,0.57,0.0,0.28,0.57,0.0,0.85,0.28,0.0,0.28,0.85,0.28,0.0,0.0,0.28,0.57,0.28,0.57,1.14,0.57,0.0,0.28,0.0,0.0,0.0,0.0,0.85,0.0,1.42,0.57,0.0,0.85,0.57,0.28,0.85,0.0,0.28,0.57,1.42,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.85,0.57,0.85,1.14,0.28,0.28,0.0,0.0,4.56,male
0.35,0.24,0.12,0.24,0.12,0.35,0.47,3.42,0.35,0.24,0.47,0.12,0.0,0.24,0.59,0.24,0.0,0.24,0.35,0.0,0.12,0.12,0.0,0.12,0.0,0.0,0.83,0.0,0.24,0.0,0.0,0.0,1.18,0.0,0.24,0.24,0.35,0.24,0.24,1.53,0.12,0.12,0.24,2.59,1.53,1.06,0.0,0.71,0.24,0.12,0.0,1.06,0.47,0.0,0.24,0.47,0.35,0.12,0.0,0.71,0.35,0.83,0.35,1.42,0.12,0.0,0.12,0.47,0.12,0.24,0.35,0.0,0.12,3.42,0.0,0.35,1.53,0.83,0.24,0.35,0.0,0.24,0.71,1.53,0.47,0.12,0.12,0.0,0.12,0.47,0.24,0.12,0.35,3.18,0.35,0.0,0.0,0.12,0.24,6.37,female
0.0,0.32,0.63,0.32,0.0,0.95,0.0,2.69,0.32,0.0,0.0,0.0,0.16,0.0,0.63,0.0,0.0,0.0,0.0,0.95,0.16,0.47,0.95,0.32,0.32,0.0,0.79,0.0,0.16,0.16,0.0,0.0,0.32,0.0,0.16,0.0,0.79,0.32,0.0,0.32,0.32,0.63,0.0,1.9,2.21,0.63,0.0,0.0,0.16,0.47,0.0,0.0,0.47,0.95,0.63,0.47,0.47,0.16,0.0,0.32,0.63,2.37,0.95,0.0,0.47,0.47,0.0,0.0,0.16,0.79,0.16,0.0,0.0,1.58,0.0,0.32,1.58,2.21,0.63,0.0,0.0,0.16,0.79,1.26,0.32,0.16,0.16,0.16,0.0,0.0,0.0,0.47,0.0,2.84,0.63,0.47,0.0,0.32,0.0,4.74,female
0.4,0.33,0.13,0.13,0.27,0.07,0.07,1.8,0.67,0.13,0.07,0.0,0.2,0.0,0.2,0.2,0.47,0.73,0.0,0.27,0.07,0.0,0.0,0.67,0.47,0.13,1.06,0.27,0.27,0.53,1.13,0.07,1.33,0.0,0.33,0.0,0.67,0.86,0.13,0.07,1.0,0.27,0.0,2.13,1.2,0.4,0.2,0.0,0.13,0.53,0.4,0.2,0.07,0.33,0.13,0.53,0.53,0.33,1.06,0.47,0.2,1.33,0.67,0.67,0.0,0.13,0.27,0.47,0.2,0.4,0.53,0.13,0.33,3.13,0.2,0.27,1.4,1.6,0.2,1.13,0.13,0.47,0.53,1.73,0.2,0.33,0.33,0.13,0.07,0.13,1.46,0.4,0.13,2.66,1.2,0.07,0.13,0.53,0.07,3.86,male
0.0,0.0,0.0,0.54,0.0,0.0,0.18,1.63,0.18,0.36,0.18,0.72,0.18,0.0,1.08,0.72,0.54,0.0,0.54,0.36,0.36,0.0,1.08,0.0,0.0,0.18,0.18,0.54,0.18,0.18,0.0,0.18,1.08,0.0,0.54,0.36,0.0,0.18,0.18,0.36,1.27,0.18,0.72,2.35,1.45,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.0,0.36,0.54,0.0,0.0,0.0,0.0,2.17,0.18,0.72,0.36,0.9,0.18,1.08,0.54,0.54,0.18,0.0,0.0,0.36,0.72,1.63,0.0,0.36,0.72,1.08,0.18,0.18,0.0,0.72,0.36,1.81,0.36,0.18,0.0,0.18,0.0,0.0,0.0,0.36,0.36,1.81,1.27,0.0,0.18,0.18,0.72,5.24,male
0.27,0.53,0.13,0.27,0.13,0.13,0.0,3.74,0.13,0.4,0.13,0.0,0.27,0.0,0.67,0.4,0.4,0.67,0.0,0.27,0.13,0.13,0.0,0.4,0.4,0.27,0.67,0.0,0.27,0.13,0.13,0.0,0.8,0.27,0.13,0.0,0.4,0.53,0.27,0.27,1.2,0.13,0.13,4.14,1.34,0.8,0.13,0.0,0.13,0.8,0.27,0.27,0.0,0.53,0.27,0.0,0.67,0.13,0.0,0.0,0.53,1.34,0.27,0.53,0.27,0.0,0.13,0.13,0.67,0.27,0.13,0.0,0.53,2.8,0.13,0.27,0.67,1.2,0.27,0.13,0.13,0.13,0.4,0.93,0.27,0.27,0.27,0.0,0.27,0.27,1.2,0.27,0.0,2.8,1.07,0.0,0.0,0.0,0.13,5.87,male
0.16,0.16,0.16,0.16,0.16,0.0,0.47,1.71,0.0,0.31,0.16,1.4,0.0,0.0,0.0,0.78,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.62,0.16,0.0,0.0,0.47,0.31,0.0,0.0,0.62,0.62,0.0,0.0,0.16,1.09,0.0,0.16,0.62,0.47,0.31,0.62,2.96,2.02,0.16,0.16,0.0,0.16,0.0,0.0,0.47,0.31,0.16,0.0,0.0,0.0,0.0,0.0,1.71,0.0,1.4,0.62,0.93,0.0,1.4,0.47,0.62,0.0,0.78,0.0,0.0,0.0,2.8,0.0,0.0,0.16,0.78,0.62,1.25,0.16,0.47,0.31,2.18,0.16,0.0,0.31,0.31,0.0,0.16,0.0,0.0,0.62,2.65,0.16,0.0,0.0,0.0,0.16,6.23,male
0.28,0.0,0.0,0.0,0.28,0.0,0.0,3.93,0.28,0.0,0.56,0.0,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.28,0.0,0.0,0.0,1.69,0.0,0.0,1.4,0.0,0.84,0.0,0.0,0.56,1.4,0.0,0.0,0.0,0.84,1.4,0.28,0.84,1.12,0.0,0.0,0.28,0.84,0.28,0.56,0.0,0.28,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.56,1.69,0.56,0.56,0.0,0.28,0.0,0.56,0.56,0.28,0.56,0.0,0.28,2.81,0.0,0.28,0.84,0.84,0.28,0.0,0.0,0.0,0.0,2.53,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,1.12,1.97,0.84,0.0,0.0,0.0,0.0,4.49,male
0.65,0.65,0.0,0.16,0.08,0.49,0.57,3.34,0.16,0.08,0.08,0.33,0.33,0.0,0.16,0.49,0.16,0.33,0.24,0.57,0.41,0.16,0.08,0.24,0.41,0.16,0.33,0.08,0.0,0.33,0.49,0.0,0.57,0.08,0.16,0.0,0.33,0.24,0.0,0.41,0.9,0.16,0.0,2.04,2.04,0.16,0.16,0.0,0.08,0.08,0.16,0.57,0.24,0.73,0.08,0.33,0.08,0.08,0.08,1.55,0.41,1.47,0.49,0.49,0.24,0.49,0.57,0.16,0.49,0.0,0.24,0.24,0.73,2.37,0.65,0.16,0.98,3.59,0.49,0.33,0.16,0.57,0.49,2.37,0.33,0.24,0.33,0.08,0.33,0.24,0.9,0.33,0.33,2.77,4.65,0.08,0.08,0.65,0.16,4.32,male
