% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
2.25,2.38,2.64,3.96,6.47,male
1.42,0.85,3.42,2.56,4.56,male
3.42,3.18,2.59,3.42,6.37,female
1.58,2.84,1.9,2.69,4.74,female
3.13,2.66,2.13,1.8,3.86,male
1.63,1.81,2.35,1.63,5.24,male
2.8,2.8,4.14,3.74,5.87,male
2.8,2.65,2.96,1.71,6.23,male
2.81,1.97,0.28,3.93,4.49,male
2.37,2.77,2.04,3.34,4.32,male
3.02,1.25,2.67,2.14,6.05,female
2.45,2.61,2.94,2.29,6.86,female
1.31,2.5,2.63,3.02,4.47,male
3.09,2.38,2.38,3.33,7.13,female
2.03,2.23,2.64,1.62,6.69,female
2.31,1.6,1.78,1.42,6.57,male
2.46,2.6,1.82,3.51,4.56,male
1.55,2.03,1.64,3.77,5.12,male
1.99,1.0,3.48,1.99,7.96,female
2.63,3.01,1.63,2.01,5.52,male
3.34,3.15,1.97,3.44,5.11,female
3.41,1.71,2.71,2.31,7.53,female
1.2,1.2,3.19,3.19,5.18,female
3.48,3.11,2.11,1.87,5.22,male
2.3,2.46,1.31,2.93,2.98,male
2.31,3.47,1.73,2.89,6.21,male
0.57,1.89,2.08,4.53,6.42,male
1.42,3.46,3.46,2.36,4.72,female
2.81,2.25,1.31,3.93,5.62,female
2.37,3.23,3.79,3.0,5.13,male
2.41,2.89,2.41,4.01,3.53,female
3.27,2.98,1.34,2.83,4.91,female
3.43,3.02,2.61,2.74,7.27,female
4.89,2.13,2.13,2.34,6.17,female
4.33,3.41,2.48,1.86,5.57,female
0.49,1.95,1.95,2.44,7.8,female
2.16,2.01,1.23,3.7,6.17,male
2.99,2.39,1.99,3.39,4.58,male
2.54,2.77,2.08,1.39,3.46,male
2.44,1.71,3.17,3.53,5.6,male
2.29,2.29,2.02,1.62,3.64,male
3.1,1.55,3.28,2.93,7.59,female
3.38,2.68,1.89,2.59,3.12,male
2.43,1.4,3.96,0.89,5.62,male
1.56,2.6,2.86,3.39,4.69,female
1.63,3.27,1.91,2.86,7.08,female
2.46,2.28,2.28,2.81,4.91,female
1.02,2.38,1.79,1.87,4.17,female
2.1,3.2,1.4,2.2,4.9,female
2.65,2.07,1.73,4.61,5.76,female
3.03,1.75,2.87,4.78,6.7,female
2.4,2.4,2.29,3.27,4.03,male
0.89,0.89,3.1,3.33,5.1,female
