% 1. Title: Gender Text Database 
@RELATION genderText

@ATTRIBUTE	and	NUMERIC
@ATTRIBUTE	all	NUMERIC
@ATTRIBUTE	can	NUMERIC
@ATTRIBUTE	is	NUMERIC
@ATTRIBUTE	it	NUMERIC
@ATTRIBUTE	an	NUMERIC
@ATTRIBUTE	as	NUMERIC
@ATTRIBUTE	at	NUMERIC
@ATTRIBUTE	have	NUMERIC
@ATTRIBUTE	in	NUMERIC
@ATTRIBUTE	out	NUMERIC
@ATTRIBUTE	what	NUMERIC
@ATTRIBUTE	from	NUMERIC
@ATTRIBUTE	for	NUMERIC
@ATTRIBUTE	there	NUMERIC
@ATTRIBUTE	when	NUMERIC
@ATTRIBUTE	been	NUMERIC
@ATTRIBUTE	to	NUMERIC
@ATTRIBUTE	which	NUMERIC
@ATTRIBUTE	you	NUMERIC
@ATTRIBUTE	has	NUMERIC
@ATTRIBUTE	was	NUMERIC
@ATTRIBUTE	more	NUMERIC
@ATTRIBUTE	be	NUMERIC
@ATTRIBUTE	we	NUMERIC
@ATTRIBUTE	his	NUMERIC
@ATTRIBUTE	that	NUMERIC
@ATTRIBUTE	who	NUMERIC
@ATTRIBUTE	but	NUMERIC
@ATTRIBUTE	they	NUMERIC
@ATTRIBUTE	not	NUMERIC
@ATTRIBUTE	one	NUMERIC
@ATTRIBUTE	with	NUMERIC
@ATTRIBUTE	by	NUMERIC
@ATTRIBUTE	he	NUMERIC
@ATTRIBUTE	a	NUMERIC
@ATTRIBUTE	on	NUMERIC
@ATTRIBUTE	about	NUMERIC
@ATTRIBUTE	like	NUMERIC
@ATTRIBUTE	i	NUMERIC
@ATTRIBUTE	of	NUMERIC
@ATTRIBUTE	up	NUMERIC
@ATTRIBUTE	or	NUMERIC
@ATTRIBUTE	this	NUMERIC
@ATTRIBUTE	s	NUMERIC
@ATTRIBUTE	so	NUMERIC
@ATTRIBUTE	t	NUMERIC
@ATTRIBUTE	the	NUMERIC
@ATTRIBUTE	my	NUMERIC
@ATTRIBUTE	are	NUMERIC
@ATTRIBUTE	gender	{male,female}

@DATA
2.25,0.26,0.0,0.92,1.06,0.13,0.26,0.26,0.66,2.64,0.13,0.13,0.4,0.66,0.26,0.26,0.26,3.96,0.0,0.0,1.32,0.92,0.13,0.4,0.0,0.53,2.25,0.26,0.4,0.4,0.4,0.13,0.26,0.26,0.53,2.38,1.45,0.26,0.0,0.13,2.64,0.26,0.0,0.26,1.72,0.0,0.26,6.47,0.0,0.0,male
1.42,0.0,0.0,0.85,0.57,0.28,0.85,0.28,0.57,1.42,0.85,0.28,0.85,0.85,0.0,0.0,0.85,2.56,0.57,0.0,1.14,0.28,0.57,0.28,1.14,0.0,0.28,0.57,0.57,0.85,0.28,0.57,1.14,0.57,0.0,0.85,0.57,0.28,0.0,1.14,3.42,0.0,0.28,0.0,1.14,0.0,0.28,4.56,0.0,1.42,male
3.42,0.35,0.35,1.53,0.83,0.24,0.35,0.24,0.71,1.53,0.12,0.0,1.06,1.18,0.0,0.12,0.47,3.42,0.47,0.24,0.35,0.71,0.35,0.35,0.24,0.12,0.83,0.35,0.35,0.59,0.24,0.12,1.42,1.53,0.0,3.18,0.12,0.12,0.24,0.35,2.59,0.12,1.06,0.47,1.53,0.12,0.0,6.37,0.12,0.83,female
1.58,0.0,0.16,1.58,2.21,0.63,0.0,0.16,0.79,1.26,0.47,0.0,0.0,0.32,0.95,0.16,0.47,2.69,0.0,0.0,0.32,0.32,0.63,0.79,0.32,0.0,2.37,0.0,0.95,0.63,0.0,0.47,0.0,0.32,0.47,2.84,0.32,0.63,0.0,0.63,1.9,0.16,0.63,0.0,2.21,0.32,0.95,4.74,0.0,0.79,female
3.13,0.4,0.53,1.4,1.6,0.2,1.13,0.47,0.53,1.73,0.4,1.13,0.2,1.33,0.33,0.33,0.53,1.8,0.13,1.46,0.67,0.47,0.2,0.67,0.86,0.0,1.33,0.13,0.67,0.2,0.2,0.53,0.67,0.07,0.13,2.66,1.0,0.27,0.73,1.2,2.13,0.2,0.4,0.47,1.2,0.53,0.27,3.86,0.33,1.06,male
1.63,0.0,0.0,0.72,1.08,0.18,0.18,0.72,0.36,1.81,0.36,0.0,0.18,1.08,0.36,0.0,0.0,1.63,0.0,0.0,0.18,2.17,0.18,0.0,0.18,0.72,0.72,0.36,0.36,1.08,0.72,0.18,0.9,0.36,1.08,1.81,1.27,0.18,0.0,1.27,2.35,0.18,0.0,0.54,1.45,0.18,0.36,5.24,0.72,0.18,male
2.8,0.27,0.13,0.67,1.2,0.27,0.13,0.13,0.4,0.93,0.27,0.13,0.27,0.8,0.53,0.27,0.0,3.74,0.27,1.2,0.13,0.0,0.53,0.4,0.53,0.0,1.34,0.0,0.27,0.67,0.4,0.8,0.53,0.27,0.0,2.8,1.2,0.13,0.67,1.07,4.14,0.67,0.8,0.13,1.34,0.0,0.27,5.87,0.53,0.67,male
2.8,0.16,0.0,0.16,0.78,0.62,1.25,0.47,0.31,2.18,0.0,0.0,0.47,0.62,0.16,0.31,0.0,1.71,0.16,0.0,0.0,1.71,0.0,1.09,0.0,1.4,1.4,0.62,0.62,0.0,0.78,0.0,0.93,0.62,1.4,2.65,0.47,0.31,0.0,0.16,2.96,0.0,0.16,0.62,2.02,0.0,0.0,6.23,0.0,0.0,male
2.81,0.28,0.56,0.84,0.84,0.28,0.0,0.0,0.0,2.53,0.0,0.0,1.4,1.4,0.0,0.0,0.0,3.93,0.0,0.0,0.28,0.0,0.56,0.84,1.4,0.0,1.69,1.12,0.56,0.0,0.28,0.0,0.56,0.84,0.28,1.97,1.12,0.0,0.0,0.84,0.28,0.56,0.28,0.56,0.84,0.0,0.28,4.49,0.28,1.4,male
2.37,0.65,0.24,0.98,3.59,0.49,0.33,0.57,0.49,2.37,0.33,0.49,0.57,0.57,0.73,0.33,0.33,3.34,0.24,0.9,0.16,1.55,0.41,0.33,0.24,0.33,1.47,0.33,0.49,0.16,0.49,0.08,0.49,0.41,0.49,2.77,0.9,0.16,0.33,4.65,2.04,0.49,0.16,0.16,2.04,0.65,0.57,4.32,0.73,0.33,male
3.02,0.36,0.36,1.42,1.07,0.36,0.53,0.53,0.53,2.49,0.0,0.18,0.53,2.14,0.89,0.0,0.18,2.14,0.71,0.71,0.0,0.36,0.36,2.49,0.36,0.0,1.42,0.53,0.53,0.18,0.71,0.53,0.18,0.18,0.0,1.25,0.36,0.0,0.18,0.36,2.67,0.36,0.0,0.71,0.36,0.0,0.0,6.05,0.0,0.53,female
2.45,0.49,0.16,0.33,0.49,0.33,0.82,0.82,0.49,1.47,0.65,0.65,0.33,0.98,0.16,0.33,0.33,2.29,0.0,1.63,0.16,0.49,0.33,0.49,0.33,0.0,1.8,0.16,0.33,0.98,0.49,0.16,0.65,0.16,0.0,2.61,1.8,0.49,0.16,0.0,2.94,0.33,0.49,0.16,1.31,0.16,0.98,6.86,0.0,0.82,female
1.31,0.13,0.26,0.66,1.18,0.53,0.26,1.05,0.13,1.45,0.53,0.39,0.66,0.92,0.39,0.26,0.0,3.02,0.39,0.53,0.26,1.18,0.0,0.92,0.39,0.13,0.79,0.39,1.05,0.92,0.26,0.53,0.26,0.0,0.66,2.5,0.53,0.13,0.66,3.42,2.63,0.26,0.26,0.53,1.05,0.13,0.66,4.47,0.66,0.0,male
3.09,0.48,0.48,0.95,0.48,0.24,0.95,0.24,0.71,1.19,0.24,0.0,0.0,0.71,0.0,0.24,0.24,3.33,1.43,0.0,0.24,0.48,0.71,1.66,0.48,0.0,0.71,0.24,0.95,0.48,0.95,0.24,0.71,0.95,0.0,2.38,0.48,0.48,0.0,0.24,2.38,0.0,0.24,1.66,0.0,0.24,0.0,7.13,0.0,0.95,female
2.03,0.0,0.41,1.83,0.81,0.2,0.81,0.41,0.61,1.42,0.41,0.2,0.2,1.22,0.41,0.0,0.0,1.62,0.61,0.41,0.81,0.2,0.0,0.81,0.0,0.0,1.22,0.41,0.81,0.0,0.61,0.0,0.61,0.41,0.0,2.23,0.2,0.2,0.61,0.41,2.64,0.41,0.81,0.2,0.2,0.41,0.0,6.69,0.0,0.41,female
2.31,0.36,0.18,0.53,0.0,0.53,0.36,0.36,0.36,2.66,0.18,0.18,0.18,1.6,0.0,0.89,0.18,1.42,0.18,0.0,0.36,0.89,0.0,0.53,0.18,0.0,0.53,0.53,0.36,0.18,0.0,0.0,0.0,0.53,0.18,1.6,0.89,0.18,0.0,0.53,1.78,0.18,0.0,0.36,2.31,0.18,0.0,6.57,0.53,0.18,male
2.46,0.91,0.21,0.56,1.4,0.49,0.91,0.63,0.7,2.04,0.7,0.84,0.98,0.98,0.21,0.42,0.35,3.51,0.28,1.05,0.14,0.28,0.07,0.63,2.32,0.07,0.84,0.56,0.35,0.7,0.0,0.21,0.7,0.49,0.07,2.6,0.84,0.35,0.21,1.82,1.82,0.21,0.14,0.49,0.98,0.63,0.21,4.56,0.07,0.63,male
1.55,0.29,0.29,0.97,0.87,0.68,0.19,0.19,0.68,3.29,0.0,0.1,0.77,0.87,0.29,0.1,0.29,3.77,0.1,0.19,0.48,0.68,0.1,1.45,0.19,0.1,1.74,0.48,0.58,1.06,0.87,0.29,0.68,0.19,0.48,2.03,1.45,0.19,0.0,0.0,1.64,0.0,0.1,0.39,0.68,0.1,0.0,5.12,0.0,0.39,male
1.99,0.0,0.5,0.5,1.0,0.5,1.49,0.0,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,1.99,0.0,0.0,0.5,1.0,0.5,0.5,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,1.49,1.0,0.0,1.0,1.0,0.0,0.0,0.5,3.48,1.49,0.5,0.5,1.99,0.5,0.5,7.96,0.0,0.0,female
2.63,0.13,0.0,0.0,0.5,0.13,0.63,0.63,0.0,1.88,0.25,0.0,0.75,1.13,0.0,0.63,0.0,2.01,0.25,0.25,0.0,1.38,0.0,0.0,1.63,1.76,0.88,0.38,0.0,0.13,0.0,0.38,0.63,0.13,1.0,3.01,1.13,0.25,0.0,1.88,1.63,0.25,0.0,0.25,1.0,0.25,0.13,5.52,0.38,0.0,male
3.34,0.49,0.69,0.98,1.47,0.39,0.39,0.39,0.49,2.06,0.2,0.59,0.2,1.57,0.69,0.39,0.29,3.44,0.2,2.36,0.0,0.0,0.79,1.18,0.59,0.0,1.57,0.1,0.79,0.2,0.79,0.29,0.79,0.39,0.0,3.15,1.18,0.1,0.29,0.2,1.97,0.2,0.49,0.49,1.28,0.29,0.59,5.11,0.0,0.79,female
3.41,0.3,0.2,1.31,0.6,0.1,0.2,0.6,0.9,1.71,0.0,0.1,0.5,1.2,0.5,0.4,0.5,2.31,0.1,0.0,0.3,1.0,0.1,0.6,0.2,0.1,1.51,0.6,0.5,0.0,0.7,0.6,1.2,0.4,0.2,1.71,0.3,0.4,0.0,0.6,2.71,0.2,0.5,0.2,0.5,0.3,0.0,7.53,0.3,0.6,female
1.2,0.4,0.4,0.8,2.79,0.0,0.4,0.4,0.4,0.4,0.0,1.2,0.4,0.4,0.4,0.0,0.0,3.19,0.0,1.59,0.0,1.2,0.0,0.4,0.0,0.4,1.59,0.4,1.59,0.0,0.4,0.0,0.0,0.0,0.0,1.2,1.2,0.4,0.0,3.19,3.19,0.0,0.0,1.99,0.8,0.0,0.4,5.18,0.8,0.8,female
3.48,0.25,0.25,0.5,0.25,0.87,0.75,0.12,0.12,2.24,0.12,0.37,0.5,0.37,0.0,0.37,0.0,1.87,0.12,0.25,0.0,0.5,0.25,0.12,0.25,0.12,1.0,0.75,0.5,0.5,0.0,0.12,1.49,0.87,0.5,3.11,1.62,0.37,0.25,0.37,2.11,0.12,0.0,0.12,0.5,0.0,0.5,5.22,0.0,0.37,male
